num_doc,nombre,mnt_total_trx_barrio,mnt_total_trx_cliente,%_cada_barrio
-1436361226556338387,Unidad Residencial Santiago de Cali,3865497906.0,7178793410.0,53.846
-1436508300173523141,Villa Colombia,5726470742.0,5726510582.0,99.999
-1436694487551561043,La Ciudadela Confandi,14194172127.0,22601799717.0,62.801
-1438683312679370994,Colseguros Andes,18656133126.0,19754802737.5,94.438
-1438953278771482431,Colseguros Andes,3777048038.0,5114937407.0,73.843
-1439517909525228976,San Pedro,30.0,30.0,100.0
-1439775161828841009,Promociones Populares,1525318390.0,1525318390.0,100.0
-1441662736349670906,Unicentro Cali,784320816.5,1148251576.5,68.306
-1442398043288772496,Lili,39176505.0,65049505.0,60.226
-1443652973656195363,San Pedro,26030669.0,50170210.5,51.885
-1445999271593872151,Urbanización San Juaquín,1465.0,1465.0,100.0
-1446046911648069419,San Judas Tadeo I,506708296.5,534293966.5,94.837
-1447569240651070738,Chipichape,10288.0,18306.5,56.199
-1447936368955830869,Chapinero,1104414825.0,1104414825.0,100.0
-1449790671529597823,San Fernando Nuevo,10669845.5,10673440.5,99.966
-1451958018111613101,El Jardín,1976118145.5,1981473454.5,99.73
-1454024136303163120,Ville Grande,5833574613.0,9400248564.5,62.058
-1454081259972677053,Urbanización San Juaquín,11303609.0,11314485.0,99.904
-1454759203597027037,La Flora,14962740.0,20576920.0,72.716
-145546785684204517,La Rivera,1144429476.0,1663469678.5,68.798
-1459030245473228036,San Vicente,412.5,412.5,100.0
-1459040602578950034,Prados del Norte,2930.0,2930.0,100.0
-1459328282669999048,El Peñón,13138193.0,13138193.0,100.0
-1462418575171160240,El Sena,552208326.5,552208326.5,100.0
-1464326568866353181,Brisas de los Álamos,10577138.0,17458622.0,60.584
-1465885481340829900,Los Alcázares,1111.5,1111.5,100.0
-1468958301995829767,Versalles,552209444.5,552209444.5,100.0
-1471009305074842085,La Merced,1614181372.5,2432911049.5,66.348
-1471226022449613736,Unicentro Cali,5137.0,7723.0,66.516
-1471379878287076975,Prados del Norte,5358.0,5358.0,100.0
-1472684666873718413,Lili,1722.5,1722.5,100.0
-147365970737863548,Urbanización Ciudad Jardín,10336139.0,10336139.0,100.0
-1476225132395706049,El Gran Limonar,2485.0,2485.0,100.0
-1477567945759462099,Urbanización San Juaquín,11038528.5,11044434.0,99.947
-1481198727609336232,Urbanización Militar,2512.0,2512.0,100.0
-148280321808917342,Juanambu,483.5,483.5,100.0
